"Facility Name","Facility Name#",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Delaware Mountain Wind Farm","Delaware Mountain Wind Farm","Delaware Mountain","Definition:Commercial Scale Wind","NextEra Energy Resources","American National Wind Power/Orion Energy","Lower Colorado River Authority","Culberson County TX","28.5 MW",38,1999,Zond,"In Service","31.670717°, -104.739534°"
"Delta Junction Wind Farm","Delta Junction Wind Farm","Delta Junction","Definition:Small Scale Wind","Alaska Environmental Power","Alaska Environmental Power",,"South of Delta Junction AK","0.1 MW",1,2008,DES,"In Service","64.069461°, -145.717661°"
"Desert Sky Wind Farm","Desert Sky Wind Farm","Desert Sky Wind Farm","Definition:Commercial Scale Wind","American Electric Power Co., Inc.","GE Energy","City of San Antonio Texas (Utility Company)","Pecos County TX","160.5 MW",107,2001,"GE Energy","In Service","30.926626°, -102.100067°"
"Desert Wind Power","Desert Wind Power","Desert Wind Power","Definition:Commercial Scale Wind",,"Iberdrola Renewables",,"Pasquotank and Perquimans Counties NC","300 MW",150,,,Proposed,"36.435688°, -76.232786°"
"Diablo Winds Wind Farm","Diablo Winds Wind Farm","Diablo Winds Wind Farm","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Pacific Gas & Electric Co","Altamont Pass CA","20.46 MW",31,2004,Vestas,"In Service","37.7347°, -121.652°"
"Diamond Willow Extension","Diamond Willow Extension","Diamond Willow Extension","Definition:Commercial Scale Wind","Montana-Dakota Utilities","Montana-Dakota Utilities","Montana-Dakota Utilities","Near Baker MT","10.5 MW",7,2010,"GE Energy","In Service","46.281621°, -104.271355°"
"Diamond Willow Wind (07) Wind Farm","Diamond Willow Wind (07) Wind Farm","Diamond Willow Wind (07)","Definition:Commercial Scale Wind","Montana-Dakota Utilities","Montana-Dakota Utilities","Montana-Dakota Utilities","Near Baker MT","1.5 MW",1,2007,"GE Energy","In Service","46.274903°, -104.183013°"
"Diamond Willow Wind (08) Wind Farm","Diamond Willow Wind (08) Wind Farm","Diamond Willow Wind (08)","Definition:Commercial Scale Wind","Montana-Dakota Utilities","Montana-Dakota Utilities","Montana-Dakota Utilities","Near Baker MT","18 MW",12,2008,"GE Energy","In Service","46.268046°, -104.201742°"
"Difwind I Wind Farm","Difwind I Wind Farm","Difwind I","Definition:Commercial Scale Wind",EnXco,,"Southern California Edison Co","San Gorgonio CA","12.42 MW",115,,Micon,"In Service","33.9095°, -116.734°"
"Difwind II Wind Farm","Difwind II Wind Farm","Difwind II","Definition:Commercial Scale Wind",EnXco,,"Southern California Edison Co","San Gorgonio CA","2.54 MW",39,,Micon,"In Service","33.9095°, -116.734°"
"Difwind V Wind Farm","Difwind V Wind Farm","Difwind V","Definition:Commercial Scale Wind",EnXco,Seawest,"Southern California Edison Co","San Gorgonio CA","7.88 MW",73,,Micon,"In Service","33.9095°, -116.734°"
"Diller-Odell High School Wind Project","Diller-Odell High School Wind Project","Diller-Odell High School","Definition:Community Wind",,,,NE,,1,,SkyStream,,"40.054523°, -96.806374°"
"Dillon Wind Farm","Dillon Wind Farm",Dillon,"Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","Southern California Edison Co","Palm Springs CA","45 MW",45,2008,Mitsubishi,"In Service","33.939323°, -116.589503°"
"Dispersed Project Wind Farm","Dispersed Project Wind Farm","Dispersed Project","Definition:Commercial Scale Wind",,"Northern Alternative Energy","Xcel Energy","Lincoln County MN","5.94 MW",9,2000,Vestas,"In Service","44.4039°, -96.2646°"
"Don Sneve Wind Project","Don Sneve Wind Project","Don Sneve Wind Project","Definition:Commercial Scale Wind","Sneve Wind Farms- LLC","Diversified Energy Solutions",Alliant,"Hendricks in Lincoln County MN","0.95 MW",1,2003,"NEG Micon","In Service","44.412°, -96.2481°"
"Dry Lake II Wind Farm","Dry Lake II Wind Farm","Dry Lake II","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","Salt River Project","Northwest of Snowflake AZ","65.1 MW",31,2010,"Suzlon Energy Company","In Service","34.635651°, -110.357351°"
"Dry Lake Wind Farm","Dry Lake Wind Farm","Dry Lake","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","Iberdrola Renewables","Navajo County AZ","63 MW",30,2009,"Suzlon Energy Company","In Service","34.635651°, -110.357351°"
"Dunlap Wind Energy Project","Dunlap Wind Energy Project","Dunlap Wind Energy Project","Definition:Commercial Scale Wind",PacifiCorp,PacifiCorp,,"North of Medicine Bow in Carbon County WY","111 MW",74,2010,"GE Energy","In Service","42.013591°, -106.21419°"
"Dutch Hill/Cohocton Wind Farm","Dutch Hill/Cohocton Wind Farm","Dutch Hill/Cohocton Wind Farm","Definition:Commercial Scale Wind","First Wind","First Wind",Market,"Steuben County NY","125 MW",50,2008,Clipper,"In Service","42.52342°, -77.500303°"
"Dutch Pacific Wind Farm","Dutch Pacific Wind Farm","Dutch Pacific","Definition:Commercial Scale Wind","Dutch Pacific- LLC","Dutch Pacific- LLC","Southern California Edison Co","San Gorgonio CA","10 MW",20,1994,NedWind,"In Service","33.9095°, -116.734°"
Dynapower,Dynapower,Dynapower,"Definition:Small Scale Wind",Dynapower,,Dynapower,"South Burlington VT","0.1 MW",1,2010,"Northern Power Systems","In Service","44.44306428°, -73.15507293°"
"East Ridge Wind Farm","East Ridge Wind Farm","East Ridge Wind Farm","Definition:Commercial Scale Wind","Edison Mission Group owns majority","Edison Mission Group","Xcel Energy","Lincoln County MN","10 MW",8,2006,"Suzlon Energy Company","In Service","44.4039°, -96.2646°"
"East Winds (formerly Altech III) Wind Farm","East Winds (formerly Altech III) Wind Farm","East Winds (formerly Altech III)","Definition:Commercial Scale Wind","Nichimen America",SeaWest,"Southern California Edison Co","San Gorgonio CA","4.2 MW",7,1997,"NEG Micon","In Service","33.9095°, -116.734°"
"Easton Pond Business Center","Easton Pond Business Center","Easton Pond Business Center","Definition:Small Scale Wind",,,,"Middletown RI","0.1 MW",1,2009,"Northern Power Systems","In Service","41.50220171984°, -71.28672659°"
"Echo 1-7 Wind Farm","Echo 1-7 Wind Farm","Echo 1-7","Definition:Commercial Scale Wind","John Deere Wind","John Deere Wind",PacifiCorp,"Morrow and Umatilla Counties OR","44.55 MW",27,2009,Vestas,"In Service","45.521953°, -119.248549°"
"Echo 8-9 Wind Farm","Echo 8-9 Wind Farm","Echo 8-9","Definition:Commercial Scale Wind","John Deere Wind","John Deere Wind",PacifiCorp,"Morrow and Umatilla Counties OR","20 MW",10,2009,REpower,"In Service","45.521953°, -119.248549°"
Eclipse,Eclipse,Eclipse,"Definition:Commercial Scale Wind","MidAmerican Energy","Clipper Windpower Development Company","MidAmerican Energy","Adair IA","200.1 MW",87,2012,Siemens,"In Service","41.53604897°, -94.65567112°"
"EcoGrove Wind Farm","EcoGrove Wind Farm",EcoGrove,"Definition:Commercial Scale Wind",Acciona,Acciona,,"Stephenson County IL","100.5 MW",67,2009,Acciona,"In Service","42.452903°, -89.840816°"
"Edom Hills (repower) Wind Farm","Edom Hills (repower) Wind Farm","Edom Hills (repower)","Definition:Commercial Scale Wind","BP Alternative Energy","BP Alternative Energy","Southern California Edison Co",CA,"20 MW",8,2008,Clipper,"In Service","33.9095°, -116.734°"
"Elbow Creek Wind Farm","Elbow Creek Wind Farm","Elbow Creek Wind Farm","Definition:Commercial Scale Wind",Padoma,Padoma,,"Howard County TX","121.9 MW",53,2008,Siemens,"In Service","32.133515°, -101.415676°"
"Eldora-New Providence Schools Wind Farm","Eldora-New Providence Schools Wind Farm","Eldora-New Providence Schools","Definition:Community Wind","Eldora - New Providence Schools","Eldora - New Providence Schools","Eldora - New Providence Schools","Hardin County IA","0.75 MW",1,2002,"NEG Micon","In Service","42.3794°, -93.2497°"
Elk,Elk,Elk,"Definition:Commercial Scale Wind","RPM Access Wind Development","RPM Access Wind Development","Central Iowa Power Cooperative","Greeley IA","42.5 MW",17,2011,Nordex,"In Service","42.58659755°, -91.36861324°"
"Elk City II","Elk City II","Elk City II","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Public Service Company of Oklahoma","Roger Mills and Beckham Counties OK","100.8 MW",66,2010,"GE Energy","In Service","35.569747°, -99.448256°"
"Elk City Wind Energy Center","Elk City Wind Energy Center","Elk City Wind Energy Center","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Public Service Company of Oklahoma","Roger Mills and Beckham Counties OK","98.9 MW",43,2009,Siemens,"In Service","35.472664°, -99.442602°"
"Elk River Wind Farm","Elk River Wind Farm","Elk River Wind Farm","Definition:Commercial Scale Wind","PPM Energy Inc","PPM Energy Inc","Empire District Electric Co.","Butler County KS","150 MW",100,2005,"GE Energy","In Service","37.586575°, -96.547093°"
"Elkhorn Ridge Wind Farm","Elkhorn Ridge Wind Farm","Elkhorn Ridge","Definition:Commercial Scale Wind","Edison Mission Group","Midwest Wind Energy","Nebraska Public Power District","Knox County north of Bloomfield NE","81 MW",27,2009,Vestas,"In Service","42.654519°, -97.660224°"
"Elkhorn Valley (07) Wind Farm","Elkhorn Valley (07) Wind Farm","Elkhorn Valley (07)","Definition:Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy","Idaho Power","Union County OR","97.35 MW",59,2007,Vestas,"In Service","45.05034°, -117.780011°"
"Elkhorn Valley (08) Wind Farm","Elkhorn Valley (08) Wind Farm","Elkhorn Valley (08)","Definition:Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy","Idaho Power",OR,"3.3 MW",2,2008,Vestas,"In Service","45.05034°, -117.780011°"
"Elkhorn Valley Public Schools Wind Project","Elkhorn Valley Public Schools Wind Project","Elkhorn Valley Public Schools","Definition:Community Wind",,,,NE,,1,,SkyStream,,"42.047836°, -97.831329°"
"Elkton Schools District Wind Project","Elkton Schools District Wind Project","Elkton Schools District","Definition:Community Wind",,,,SD,,1,,SkyStream,,"44.229973°, -96.482101°"
"Elm Creek II","Elm Creek II","Elm Creek II","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",,"Jackson and Martin County MN","148.8 MW",62,2011,Mitsubishi,"In Service","43.756372°, -94.956014°"
"Elm Creek Wind Farm","Elm Creek Wind Farm","Elm Creek","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","Great River Energy",MN,"99 MW",66,2008,"GE Energy","In Service","43.780285°, -94.845586°"
"Endeavor (2Q08) Wind Farm","Endeavor (2Q08) Wind Farm","Endeavor (2Q08)","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Alliant/IES Utilities","Osceola and Dickenson Counties IA","62.5 MW",25,2008,Clipper,"In Service","43.427012°, -95.414987°"
"Endeavor (3Q07) Wind Farm","Endeavor (3Q07) Wind Farm","Endeavor (3Q07)","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Alliant/IES Utilities","Osceola and Dickenson Counties IA","25 MW",10,2007,"Clipper Windpower","In Service","43.416841°, -95.423477°"
"Endeavor (3Q08) Wind Farm","Endeavor (3Q08) Wind Farm","Endeavor (3Q08)","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,"Osceola and Dickenson Counties IA","12.5 MW",5,2008,Clipper,"In Service","43.432497°, -95.452752°"
"Endeavor II Wind Farm","Endeavor II Wind Farm","Endeavor II","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,"Osceola and Dickenson Counties IA","50 MW",20,2008,Clipper,"In Service","43.427012°, -95.414987°"
"Energy Concepts","Energy Concepts","Energy Concepts","Definition:Small Scale Wind",,,,"Hudson WI","0.1 MW",1,2009,"Northern Power Systems","In Service","44.942933°, -92.701608°"
"Energy Unlimited Wind Farm I","Energy Unlimited Wind Farm I","Energy Unlimited","Definition:Commercial Scale Wind",,"Energy Unlimited","Southern California Edison Co","San Gorgonio CA","14.5 MW",148,,"Bonus; Delta; Micon","In Service","33.9095°, -116.734°"
"Energy Unlimited Wind Farm II","Energy Unlimited Wind Farm II","Energy Unlimited","Definition:Commercial Scale Wind","Energy Unlimited","Energy Unlimited","Southern California Edison Co","San Gorgonio CA","10 MW",10,1999,Nordex,"In Service","33.9095°, -116.734°"
Ensign,Ensign,Ensign,"Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","KCP&L Greater Missouri Operations","Ensign KS","98.9 MW",43,2012,Siemens,"In Service","37.61259964°, -100.3458595°"
Eolos,Eolos,Eolos,"Definition:Commercial Scale Wind","University of Minnesota","University of Minnesota","Xcel Energy","Rosemount MN","2.5 MW",1,2011,Clipper,"In Service","44.7246529°, -93.0876783°"
"Equity Industrial Partners","Equity Industrial Partners","Equity Industrial Partners","Definition:Community Wind","Equity Industrial Turbines LLC","Equity Industrial Turbines LLC","City of Gloucester","Gloucester MA","4 MW",2,2012,Gamesa,"In Service","42.625864°, -70.65621°"
"Eswood School","Eswood School","Eswood School","Definition:Community Wind","Eswood School","Eswood School","Eswoood School - excess to utilities","Lindenwood IL","0.23 MW",1,2012,"Rock-Wind LLC (refurb)","In Service","42.05673329°, -89.03339624°"
"Eudora High School Wind Project","Eudora High School Wind Project","Eudora High School","Definition:Community Wind",,,,KS,,1,,SkyStream,,"38.922672°, -95.097763°"
"Eva Creek Wind Project","Eva Creek Wind Project","Eva Creek Wind Project","Definition:Commercial Scale Wind","Golden Valley Electric Association","Golden Valley Electric Association","Golden Valley Electric Association","NE corner of Denali Natl Park AK","24.6 MW",12,2012,REpower,"In Service","64.0602°, -148.9054°"
"Evansville WI (WWTP)","Evansville WI (WWTP)","Evansville WI (WWTP)","Definition:Small Scale Wind","Evansville WI (WWTP)",,"Evansville WI (WWTP)","Evansville WI","0.1 MW",1,2010,"Northern Power Systems","In Service","42.77765315°, -89.28004146°"
Eve,Eve,Eve,"Definition:Commercial Scale Wind","GSG 7 LLC","GSG 7 LLC",ComEd,"Sublette IL","2.5 MW",1,2012,Clipper,"In Service","41.61974148°, -89.35523987°"
"Ewington Wind Farm","Ewington Wind Farm","Ewington Wind Farm","Definition:Commercial Scale Wind","John Deere Wind Energy",Community,"Northern States Power","Worthington MN","21 MW",10,2008,"Suzlon Energy Company","In Service","43.621733°, -95.678694°"
"F.E. Warren Air Force Base Wind Farm","F.E. Warren Air Force Base Wind Farm","F.E. Warren Air Force Base","Definition:Community Wind","F.E. Warren Air Force Base","F.E. Warren Air Force Base","F.E. Warren Air Force Base","Near Cheyenne WY","1.32 MW",2,2005,Vestas,"In Service","41.175569°, -104.880778°"
"FERN Blue Ribbon Wind Farm I","FERN Blue Ribbon Wind Farm I","FERN Blue Ribbon Wind Farm I","Definition:Offshore Wind",,"Fishermen's Energy",,"Offshore from Atlantic City NJ","25 MW",6,,XEMC-Darwind,Proposed,"39.311°, -74.41°"
"FERN Blue Ribbon Wind Farm II*","FERN Blue Ribbon Wind Farm II*","FERN Blue Ribbon Wind Farm II*","Definition:Offshore Wind",,"Fishermen's Energy",,"Offshore from Atlantic City NJ","330 MW",66,,Undetermined,Proposed,"39.183°, -74.428°"
"Fairhaven Wind","Fairhaven Wind","Fairhaven Wind","Definition:Community Wind","Solaya Energy / Palmer Capital / CTI Energy","Solaya Energy","Town of Fairhaven","Fairhaven MA","3 MW",2,2012,Sinovel,"In Service","41.63885963°, -70.87331772°"
"Falmouth Wastewater","Falmouth Wastewater","Falmouth Wastewater","Definition:Community Wind","Falmouth Wastewater","Falmouth Wastewater","Falmouth Wastewater","Falmouth MA","1.65 MW",1,2010,Vestas,"In Service","41.566789°, -70.608791°"
"Falmouth Wind 2","Falmouth Wind 2","Falmouth Wind 2","Definition:Commercial Scale Wind","Town of Falmouth",Lumus,Net-metered,"East Falmouth MA","1.65 MW",1,2012,Vestas,"In Service","41.60764536°, -70.62101841°"
"Farmer's Cooperatives Wind Farm","Farmer's Cooperatives Wind Farm","Farmer's Cooperatives","Definition:Commercial Scale Wind",,"DanMar & Associates","Xcel/ Great River Energy","Jackson County MN","5.7 MW",6,2004,Vestas,"In Service","43.612366°, -95.142403°"
"Farmers City Wind Farm","Farmers City Wind Farm","Farmers City","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",,"Atchison County MO","146 MW",73,2010,Gamesa,"In Service","40.438596°, -95.469482°"
"Federated Wind Farm","Federated Wind Farm",Federated,"Definition:Commercial Scale Wind",Federated,Federated,,MN,"2.1 MW",1,2008,"Suzlon Energy Company","In Service","46.729553°, -94.6858998°"
Fenner,Fenner,Fenner,"Definition:Commercial Scale Wind","Enel Green Power North America","Enel Green Power North America",NYSERDA,"Cazenovia NY","1.5 MW",1,2012,Goldwind,"In Service","42.971519°, -75.759939°"
"Fenner Wind Power Project","Fenner Wind Power Project","Fenner Wind Power Project","Definition:Commercial Scale Wind","Enel North America","Atlantic Renewable Energy",Market,"Fenner NY","30 MW",20,2001,"GE Energy","In Service","43.000482°, -75.762498°"
"Fenton Wind Power Project","Fenton Wind Power Project","Fenton Wind Power Project","Definition:Commercial Scale Wind",EnXco,EnXco,"Xcel Energy","Murray and Nobles Counties near Chandler MN","205.5 MW",137,2007,"GE Energy","In Service","43.909806°, -95.965884°"
"Ferndale High School Wind Project","Ferndale High School Wind Project","Ferndale High School","Definition:Community Wind",,,,WA,,1,,SkyStream,,"48.852478°, -122.592613°"
"Field's Point Wastewater Treatment Facility (Narragansett Bay Commission)","Field's Point Wastewater Treatment Facility (Narragansett Bay Commission)","Field's Point Wastewater Treatment Facility (Narragansett Bay Commission)","Definition:Community Wind","Gilbane Building Company","Narragansett Bay Commission","Field's Point","Providence RI","4.5 MW",3,2012,Goldwind,"In Service","41.79260859°, -71.3896966°"
"Fire Island Wind Project","Fire Island Wind Project","Fire Island Wind Project","Definition:Commercial Scale Wind",CIRI,"Fire Island Wind LLC",Chugach,"Fire Island AK","17.6 MW",11,2012,"GE Energy","In Service","61.144146°, -150.217652°"
"First State Marine Wind","First State Marine Wind","First State Marine Wind","Definition:Offshore Wind","Gamesa / Blue Hen Wind Inc","First State Marine Wind LLC",,"Atlantic Ocean DE","5 MW",1,,Gamesa,Proposed,"38.836°, -75.154°"
"Flagler Public School Wind Project","Flagler Public School Wind Project","Flagler Public School","Definition:Community Wind",,,,CO,,1,,SkyStream,,"39.294518°, -103.073723°"
"Flat Ridge 2","Flat Ridge 2","Flat Ridge 2","Definition:Commercial Scale Wind","BP Wind Energy / Sempra Energy","BP Wind Energy","Associated Electric Cooperative Inc / Southwestern Electric Power","Nashville KS","419.2 MW",262,2012,"GE Energy","In Service","37.367868°, -98.240757°"
"Flat Ridge 2 Expansion","Flat Ridge 2 Expansion","Flat Ridge 2 Expansion","Definition:Commercial Scale Wind","BP Wind Energy","BP Wind Energy","Arkansas Electric Cooperative Corp","Sharon KS","51.2 MW",32,2012,"GE Energy","In Service","37.383239°, -98.334088°"
"Flat Ridge Wind Farm","Flat Ridge Wind Farm","Flat Ridge Wind Farm","Definition:Commercial Scale Wind","BP Wind Energy North America/Weststar Energy","BP Wind Energy North America","Weststar Energy","Barber County KS","100 MW",40,2009,Clipper,"In Service","37.3694801°, -98.4603352°"
"Flat Water Wind Farm","Flat Water Wind Farm","Flat Water Wind Farm","Definition:Commercial Scale Wind","Gestamp Wind North America","Flat Water Wind Farm","Omaha Public Power District","Richardson County NE","60 MW",40,2011,"GE Energy","In Service","40.001077°, -95.955119°"
"Flinthills Tech College Wind Project","Flinthills Tech College Wind Project","Flinthills Tech College","Definition:Community Wind",,,,KS,,1,,SkyStream,,"38.419289°, -96.223602°"
"Flying Cloud Wind Farm","Flying Cloud Wind Farm","Flying Cloud","Definition:Commercial Scale Wind","PPM Energy Inc","Clipper Windpower","Alliant/IES Utilities","West of Spirit Lake IA","43.5 MW",29,2003,"GE Energy","In Service","43.416975°, -95.422282°"
"Foote Creek Rim I Wind Farm","Foote Creek Rim I Wind Farm","Foote Creek Rim I","Definition:Commercial Scale Wind","PacifiCorp/Eugene Water & Electric Board",SeaWest/Tomen,"PacifiCorp/Eugene Water & Electric Board","Carbon County WY","41.4 MW",69,1999,Mitsubishi,"In Service","41.652605°, -106.189914°"
"Foote Creek Rim II Wind Farm","Foote Creek Rim II Wind Farm","Foote Creek Rim II","Definition:Commercial Scale Wind",Caithness,SeaWest,"Bonneville Power Admin","Carbon County WY","1.8 MW",3,1999,Mitsubishi,"In Service","41.663881°, -106.186001°"
"Foote Creek Rim III Wind Farm","Foote Creek Rim III Wind Farm","Foote Creek Rim III","Definition:Commercial Scale Wind",Caithness,"SeaWestM&N Wind Power","Xcel Energy","Carbon County WY","24.75 MW",33,1999,"NEG Micon","In Service","41.643488°, -106.198876°"
"Foote Creek Rim IV Wind Farm","Foote Creek Rim IV Wind Farm","Foote Creek Rim IV","Definition:Commercial Scale Wind",Caithness,SeaWest,"Bonneville Power Admin","Carbon County WY","16.8 MW",28,2000,Mitsubishi,"In Service","41.626456°, -106.202095°"
"Forbes Park Wind Farm","Forbes Park Wind Farm","Forbes Park","Definition:Commercial Scale Wind","Forbes Park","Boreal Renewable Energy","Forbes Park","Chelsea MA","0.6 MW",1,2008,,"In Service","42.3917638°, -71.0328284°"
"Forest City High School Wind Farm","Forest City High School Wind Farm","Forest City High School","Definition:Community Wind","Forest City High School","Forest City High School","Forest City Community School District","Forest City IA","0.6 MW",1,1999,Nordex,"In Service","43.266011°, -93.653378°"
"Forest Creek Wind Farm","Forest Creek Wind Farm","Forest Creek Wind Farm","Definition:Commercial Scale Wind","E.On Climate & Renewables","E.On Climate & Renewables/RGI",Luminant,"Glasscock and Sterling Counties TX","124.2 MW",54,2006,Siemens,"In Service","31.937348°, -101.312513°"
"Fort Totten Wind Farm","Fort Totten Wind Farm","Fort Totten","Definition:Small Scale Wind","Spirit Lake Sioux",,"Spirit Lake Sioux","Fort Totten ND","0.1 MW",1,1997,"NEG Micon","In Service","47.9817°, -99.0029°"
"Forward Expansion Wind Farm","Forward Expansion Wind Farm","Forward Expansion","Definition:Commercial Scale Wind",Invenergy,Invenergy,"Alliant- Wisconsin Public Service-Madison Gas & Electric- Wisconsin Public Power","Dodge and Fond du Lac Counties WI","30 MW",20,2008,"GE Energy","In Service","43.631519°, -88.556421°"
"Forward Fontanelle","Forward Fontanelle","Forward Fontanelle","Definition:Community Wind","Forward Fontanelle Power LLC (community owned)",,"City of Fontanelle - excess to Central Iowa Power Coopeative","Fontanelle IA","1.6 MW",1,2012,"GE Energy","In Service","41.33958763°, -94.5707202°"
"Forward Phase I Wind Farm","Forward Phase I Wind Farm","Forward Phase I","Definition:Commercial Scale Wind",Invenergy,Invenergy,"Alliant- Wisconsin Public Service- Madison Gas & Electric-Wisconsin Public Power","Dodge and Fond du Lac Counties WI","99 MW",66,2008,"GE Energy","In Service","43.606819°, -88.534834°"
"Forward Wind Farm","Forward Wind Farm",Forward,"Definition:Commercial Scale Wind","Edison Mission Group","Edison Mission Group",N/a,"Shade Township Park PA","29.4 MW",14,2008,"Suzlon Energy Company","In Service","40.11541°, -78.805529°"
"Fossil Gulch Wind Park","Fossil Gulch Wind Park","Fossil Gulch Wind Park","Definition:Commercial Scale Wind","Exergy Development Group/United Materials","Exergy Development Group/United Materials","Idaho Power","Northwest of Hagerman ID","10.5 MW",7,2005,"GE Energy","In Service","42.814261°, -114.996665°"
"Fowler Ridge II Wind Farm","Fowler Ridge II Wind Farm","Fowler Ridge II","Definition:Commercial Scale Wind","BP Alternative Energy","BP Alternative Energy","AEP/Vectron Energy","Benton County IN","199.5 MW",133,2009,"GE Energy","In Service","40.613872°, -87.318692°"
"Fowler Ridge Wind Farm Phase I (Clipper)","Fowler Ridge Wind Farm Phase I (Clipper)","Fowler Ridge Wind Farm Phase I (Clipper)","Definition:Commercial Scale Wind","BP Alternative Energy/Dominion Energy","BP Alternative Energy/Dominion Energy","AEP-Appalachian Power/AEP-Indiana Michigan Power","Benton and Tippecanoe Counties IN","100 MW",40,2009,Clipper,"In Service","40.613872°, -87.318692°"
"Fowler Ridge Wind Farm Phase I (Vestas)","Fowler Ridge Wind Farm Phase I (Vestas)","Fowler Ridge Wind Farm Phase I (Vestas)","Definition:Commercial Scale Wind","BP Alternative Energy/Dominion Energy","BP Alternative Energy/Dominion Energy","AEP-Appalachian Power/AEP-Indiana Michigan Power","Benton and Tippecanoe Counties IN","300.3 MW",182,2009,Vestas,"In Service","40.613872°, -87.318692°"
"Fox Islands Wind Project","Fox Islands Wind Project","Fox Islands Wind Project","Definition:Commercial Scale Wind","Fox Islands Electric Cooperative","Fox Islands Electric Cooperative","Fox Islands Electric Cooperative","Vinalhaven Island ME","4.5 MW",1,2009,"GE Energy","In Service","44.088391°, -68.857802°"
"Franklin County Wind LLC","Franklin County Wind LLC","Franklin County Wind","Definition:Commercial Scale Wind","Franklin County Wind LLC","Franklin County Wind LLC","Merchant (MISO)","Franklin County IA","99 MW",60,2012,Vestas,"In Service","42.61481487°, -93.36564124°"
"Franklin County Wind Project","Franklin County Wind Project","Franklin County","Definition:Community Wind",,,,,,1,,SkyStream,,"37.014702°, -79.895096°"
"Frey Farm","Frey Farm","Frey Farm","Definition:Community Wind","PPL Renewable Energy","PPL Renewable Energy LLC / Lancaster County Solid Waste Management Authority","Turkey Hill Dairy","Conestoga PA","3.2 MW",2,2011,"GE Energy","In Service","39.95904681°, -76.45606756°"
Frisco,Frisco,Frisco,"Definition:Commercial Scale Wind",DeWind,DeWind,,"Guymon OK","20 MW",10,2012,DeWind,"In Service","36.49783848°, -101.4879227°"
"G. McNeilus Wind Farm","G. McNeilus Wind Farm","G. McNeilus Wind Farm","Definition:Commercial Scale Wind",,"G. McNeilus","Dairyland Power Cooperative/others","Adams MN","13.5 MW",9,2003,,"In Service","43.554778°, -92.728908°"
"G.M. Allen & Sons Wind Farm","G.M. Allen & Sons Wind Farm","G.M. Allen & Sons","Definition:Small Scale Wind","Endless Energy","Endless Energy","G.M. Allen & Sons farm","Orland ME","0.05 MW",1,2001,"Atlantic Orient Co.","In Service","44.5704°, -68.7379°"
"G3 Wind Farm","G3 Wind Farm","G3 Wind Farm","Definition:Community Wind",G3,"Bob Lewandowski",,"Southeast of Boise ID","0.22 MW",3,2003,,"In Service","43.5141°, -116.088°"
"GL Wind","GL Wind","GL Wind","Definition:Commercial Scale Wind","GL Wind","Juhl Wind","Xcel Energy","Lewiston MN","4.95 MW",2,2011,Clipper,"In Service","43.99800118°, -91.85827732°"
GSA,GSA,GSA,"Definition:Commercial Scale Wind",GSA,,GSA,"Jackman ME","0.2 MW",2,2010,"Northern Power Systems","In Service","45.80535736°, -70.39613128°"
"GSG Wind Farm","GSG Wind Farm","GSG Wind Farm","Definition:Commercial Scale Wind","Babcock & Brown","FPC Services",,"Lee and LaSalle Counties IL","80 MW",40,2007,Gamesa,"In Service","41.710895°, -89.050004°"
"GWE LLC","GWE LLC","GWE LLC","Definition:Commercial Scale Wind","Goodwind Energy Inc","Goodwind Energy Inc","Central Iowa Power Cooperative",,"4 MW",2,2012,"HZ Windpower","In Service","42.00274891°, -93.48017693°"
"Gaines Cavern Wind Project","Gaines Cavern Wind Project","Gaines Cavern Wind Project","Definition:Commercial Scale Wind","General Compression","Texas Dispatchable Wind 1 LLC",,"Gaines County TX","2 MW",1,2012,Gamesa,"In Service","32.688556°, -103.062464°"
"Galactic Wind","Galactic Wind","Galactic Wind","Definition:Commercial Scale Wind","Epic Systems","Epic Systems","Epic Systems","Waunakee WI","9.9 MW",6,2012,Vestas,"In Service","43.17297°, -89.560688°"
