Primary,Related,Cooc
Equipment Delivery / Returns,Keeping Promises - Customer Service,3.45
Equipment Delivery / Returns,Ease of Ordering,3.45
Equipment Delivery / Returns,Bill Explanation,3.13
Equipment Delivery / Returns,Email / Home Page,3.13
Equipment Delivery / Returns,First Contact Resolution,3.13
Equipment Delivery / Returns,Programming / Channel Line Up,3.13
Equipment Delivery / Returns,Collections,2.3
Equipment Delivery / Returns,Programming / Channel Line Up,2.3
Equipment Delivery / Returns,All Competitors,2.3
Equipment Delivery / Returns,Technician,2.3
Equipment Delivery / Returns,Account Verification,1.56
Equipment Delivery / Returns,Transfer / Hold,1.56
Equipment Delivery / Returns,Voice Mail,1.56
Equipment Delivery / Returns,Resolution Time,1.56
Equipment Delivery / Returns,Keeping Promises - Appointments,1.56
Equipment Delivery / Returns,Installation - Physical,1.56
Equipment Delivery / Returns,Appointment Time / Window Convenience,1.56
Equipment Delivery / Returns,Instructions,1.56
Equipment Delivery / Returns,Spec Needs / Usability,1.56
Equipment Delivery / Returns,Remote,1.56
Equipment Delivery / Returns,Program Guide,1.56
Equipment Delivery / Returns,Unauthorized Charge / Changes,1.56
Equipment Delivery / Returns,Pay Per View / VOD,1.56
Equipment Delivery / Returns,Collections,1.56
Equipment Delivery / Returns,Legal - Other,1.56
Equipment Delivery / Returns,Keeping Promises - Customer Call Back,1.56
Equipment Delivery / Returns,Knowledge / Helpfulness,1.56
Equipment Delivery / Returns,Attitude,1.56
Equipment Delivery / Returns,Payment,1.56
Equipment Delivery / Returns,Non-recurring Charges,1.56
Equipment Delivery / Returns,Bill Format,1.56
Equipment Delivery / Returns,Reliability / Out Of Service,1.56
Equipment Delivery / Returns,Contracts,1.56
Equipment Delivery / Returns,Attitude,1.15
Equipment Delivery / Returns,Keeping Promises - Billing,1.15
Equipment Delivery / Returns,Knowledge / Helpfulness,1.15
Equipment Delivery / Returns,Account Verification,1.15
Equipment Delivery / Returns,Bill Explanation,1.15
Equipment Delivery / Returns,Keeping Promises - Customer Call Back,1.15
Equipment Delivery / Returns,Speed,1.15
Equipment Delivery / Returns,Email / Home Page,1.15
Equipment Delivery / Returns,Taxes / Surcharges,1.15
Equipment Delivery / Returns,Keeping Promises - Appointments,1.15
Equipment Delivery / Returns,Non-recurring Charges,1.15
Equipment Delivery / Returns,Transfer / Hold,1.15
Equipment Delivery / Returns,Contracts,1.15
Equipment Delivery / Returns,Unauthorized Charge / Changes,1.15
Equipment Delivery / Returns,First Contact Resolution,1.15
Equipment Delivery / Returns,Interactive Voice Response (IVR),1.15
Equipment Delivery / Returns,Cost,1.15
First Contact Resolution,Resolution Time,11.11
First Contact Resolution,Billing Accuracy,8.1
First Contact Resolution,Transfer / Hold,7.18
First Contact Resolution,Keeping Promises - Appointments,6.94
First Contact Resolution,Keeping Promises - Customer Service,5.56
First Contact Resolution,Keeping Promises - Customer Call Back,4.86
First Contact Resolution,All Competitors,3.94
First Contact Resolution,Appointment Time / Window Convenience,3.94
First Contact Resolution,Getting to Rep / Reaching the Right Person,3.47
First Contact Resolution,Cost,3.47
First Contact Resolution,Technical Support,3.47
First Contact Resolution,Contracts,3.47
First Contact Resolution,Attitude,3.01
First Contact Resolution,Supervisor Escalation,3.01
First Contact Resolution,Keeping Promises - Billing,2.55
First Contact Resolution,Set Top Box,2.55
First Contact Resolution,Knowledge / Helpfulness,2.55
First Contact Resolution,Call Quality,2.08
First Contact Resolution,Technician,1.62
First Contact Resolution,Email / Home Page,1.62
First Contact Resolution,Programming / Channel Line Up,1.62
First Contact Resolution,Collections,1.62
First Contact Resolution,Taxes / Surcharges,1.39
First Contact Resolution,Payment,1.39
First Contact Resolution,Reliability / Out Of Service,1.39
First Contact Resolution,Bill Explanation,1.39
First Contact Resolution,Voice Mail,1.16
First Contact Resolution,Modem / Router,1.16
First Contact Resolution,Regulatory,0.93
First Contact Resolution,Account Verification,0.93
First Contact Resolution,Contracts,0.93
First Contact Resolution,Non-recurring Charges,0.69
First Contact Resolution,Advertising and Collateral,0.69
First Contact Resolution,Ease of Ordering,0.69
First Contact Resolution,PPV / VOD Billing,0.69
First Contact Resolution,Referrals / Word of Mouth,0.69
First Contact Resolution,Move / Transfer of Service,0.69
First Contact Resolution,Equipment Delivery / Returns,0.46
First Contact Resolution,Speed,0.46
First Contact Resolution,Interactive Voice Response (IVR),0.46
First Contact Resolution,Outsourcing,0.46
First Contact Resolution,Unauthorized Charge / Changes,0.46
First Contact Resolution,Appt Verification,0.46
First Contact Resolution,Installation - Physical,0.46
First Contact Resolution,Promotions,0.46
First Contact Resolution,Home Monitor,0.46
First Contact Resolution,Pay Per View / VOD,0.46
First Contact Resolution,OneBill / Split Bill,0.23
First Contact Resolution,Solicitation,0.23
First Contact Resolution,Phone - General,0.23
First Contact Resolution,Equipment Delivery / Returns,0.23
First Contact Resolution,Online Account Management,0.23
First Contact Resolution,Business Hours,0.23
First Contact Resolution,Packages / Premium Channels,0.23
First Contact Resolution,Instructions,0.23
First Contact Resolution,Remote,0.23
First Contact Resolution,Spec Needs / Usability,0.23
First Contact Resolution,Program Guide,0.23
First Contact Resolution,Bill Format,0.23
First Contact Resolution,Calling Plans,0.23
Getting to Rep / Reaching the Right Person,Transfer / Hold,16.58
Getting to Rep / Reaching the Right Person,First Contact Resolution,8.02
Getting to Rep / Reaching the Right Person,Interactive Voice Response (IVR),4.81
Getting to Rep / Reaching the Right Person,Keeping Promises - Customer Call Back,4.81
Getting to Rep / Reaching the Right Person,Email / Home Page,3.74
Getting to Rep / Reaching the Right Person,Keeping Promises - Appointments,3.21
Getting to Rep / Reaching the Right Person,Keeping Promises - Customer Service,3.21
Getting to Rep / Reaching the Right Person,Resolution Time,3.21
Getting to Rep / Reaching the Right Person,Supervisor Escalation,3.21
Getting to Rep / Reaching the Right Person,Billing Accuracy,2.67
Getting to Rep / Reaching the Right Person,Ease of Ordering,2.67
Getting to Rep / Reaching the Right Person,All Competitors,2.67
Getting to Rep / Reaching the Right Person,Attitude,2.67
Getting to Rep / Reaching the Right Person,Technical Support,2.14
Getting to Rep / Reaching the Right Person,Keeping Promises - Billing,2.14
Getting to Rep / Reaching the Right Person,Unauthorized Charge / Changes,1.6
Getting to Rep / Reaching the Right Person,Voice Mail,1.6
Getting to Rep / Reaching the Right Person,Cost,1.6
Getting to Rep / Reaching the Right Person,Outsourcing,1.6
Getting to Rep / Reaching the Right Person,Payment,1.07
Getting to Rep / Reaching the Right Person,Taxes / Surcharges,1.07
Getting to Rep / Reaching the Right Person,Call Quality,1.07
Getting to Rep / Reaching the Right Person,Regulatory,1.07
Getting to Rep / Reaching the Right Person,Set Top Box,1.07
Getting to Rep / Reaching the Right Person,Appointment Time / Window Convenience,1.07
Getting to Rep / Reaching the Right Person,Programming / Channel Line Up,1.07
Getting to Rep / Reaching the Right Person,Legal - Other,1.07
Getting to Rep / Reaching the Right Person,Technician,0.53
Getting to Rep / Reaching the Right Person,Live Chat,0.53
Getting to Rep / Reaching the Right Person,Promotions,0.53
Getting to Rep / Reaching the Right Person,Spec Needs / Usability,0.53
Getting to Rep / Reaching the Right Person,Modem / Router,0.53
Getting to Rep / Reaching the Right Person,Collections,0.53
Getting to Rep / Reaching the Right Person,Knowledge / Helpfulness,0.53
Getting to Rep / Reaching the Right Person,Appt Verification,0.53
Home Monitor,Call Quality,8.51
Home Monitor,Keeping Promises - Appointments,6.38
Home Monitor,Billing Accuracy,6.38
Home Monitor,Programming / Channel Line Up,4.26
Home Monitor,Migration,4.26
Home Monitor,Resolution Time,4.26
Home Monitor,Non-recurring Charges,4.26
Home Monitor,Ease of Ordering,4.26
Home Monitor,Appointment Time / Window Convenience,4.26
Home Monitor,First Contact Resolution,4.26
Home Monitor,Keeping Promises - Customer Service,4.26
Home Monitor,Spec Needs / Usability,4.26
Home Monitor,Technician,2.13
Home Monitor,Installation - Physical,2.13
Home Monitor,Contracts,2.13
Home Monitor,Solicitation,2.13
Home Monitor,Keeping Promises - Customer Call Back,2.13
Home Monitor,Attitude,2.13
Home Monitor,Contracts,2.13
Home Monitor,Keeping Promises - Billing,2.13
Home Monitor,Account Verification,2.13
Home Monitor,Transfer / Hold,2.13
Home Monitor,Cost,2.13
Home Monitor,Business Hours,2.13
In Home Agent,Voice Mail,50
In Home Agent,Instructions,16.67
In Home Agent,Pay Per View / VOD,16.67
In Home Agent,Set Top Box,16.67
Installation - Physical,Resolution Time,8.33
Installation - Physical,Appointment Time / Window Convenience,8.33
Installation - Physical,Keeping Promises - Appointments,8.33
Installation - Physical,First Contact Resolution,8.33
Installation - Physical,Billing Accuracy,4.17
Installation - Physical,Unauthorized Charge / Changes,4.17
Installation - Physical,Regulatory,4.17
Installation - Physical,Migration,4.17
Installation - Physical,10 Digit Dialing,4.17
Installation - Physical,Equipment Delivery / Returns,4.17
Installation - Physical,Home Monitor,4.17
Installation - Physical,Referrals / Word of Mouth,4.17
Installation - Physical,Transfer / Hold,4.17
Instructions,Modem / Router,13.04
Instructions,Call Quality,13.04
Instructions,Resolution Time,13.04
Instructions,Voice Mail,8.7
Instructions,Transfer / Hold,8.7
Instructions,Appointment Time / Window Convenience,8.7
Instructions,Technical Support,4.35
Instructions,Technician,4.35
Instructions,Live Chat,4.35
Instructions,Keeping Promises - Appointments,4.35
Instructions,Referrals / Word of Mouth,4.35
Instructions,Set Top Box,4.35
Instructions,Remote,4.35
Instructions,Programming / Channel Line Up,4.35
Instructions,Program Guide,4.35
Instructions,Picture Quality,4.35
Instructions,Pay Per View / VOD,4.35
Instructions,Equipment Delivery / Returns,4.35
Instructions,Caller ID,4.35
Instructions,Speed,4.35
Instructions,Ease of Ordering,4.35
Instructions,Regulatory,4.35
Instructions,Keeping Promises - Customer Call Back,4.35
Instructions,Up Sell,4.35
Instructions,Supervisor Escalation,4.35
Instructions,First Contact Resolution,4.35
Instructions,Non-recurring Charges,4.35
Instructions,PPV / VOD Billing,4.35
Instructions,Billing Accuracy,4.35
Instructions,Interactive Voice Response (IVR),4.35
Instructions,Cost,4.35
Instructions,In Home Agent,4.35
Interactive Voice Response (IVR),Transfer / Hold,23.94
Interactive Voice Response (IVR),Getting to Rep / Reaching the Right Person,12.68
Interactive Voice Response (IVR),Resolution Time,4.23
Interactive Voice Response (IVR),Cost,4.23
Interactive Voice Response (IVR),Keeping Promises - Billing,4.23
Interactive Voice Response (IVR),Keeping Promises - Customer Service,4.23
Interactive Voice Response (IVR),Contracts,2.82
Interactive Voice Response (IVR),Attitude,2.82
Interactive Voice Response (IVR),Appointment Time / Window Convenience,2.82
Interactive Voice Response (IVR),First Contact Resolution,2.82
Interactive Voice Response (IVR),Voice Mail,1.41
Interactive Voice Response (IVR),Regulatory,1.41
Interactive Voice Response (IVR),Spec Needs / Usability,1.41
Interactive Voice Response (IVR),Reliability / Out Of Service,1.41
Interactive Voice Response (IVR),Referrals / Word of Mouth,1.41
Interactive Voice Response (IVR),Payment,1.41
Interactive Voice Response (IVR),Keeping Promises - Appointments,1.41
Interactive Voice Response (IVR),Technician,1.41
Interactive Voice Response (IVR),Equipment Delivery / Returns,1.41
Interactive Voice Response (IVR),Instructions,1.41
Interactive Voice Response (IVR),Appt Verification,1.41
Interactive Voice Response (IVR),Business Hours,1.41
Interactive Voice Response (IVR),Billing Accuracy,1.41
Interactive Voice Response (IVR),Contracts,1.41
Interactive Voice Response (IVR),Unauthorized Charge / Changes,1.41
Interactive Voice Response (IVR),Caller ID,1.41
Interactive Voice Response (IVR),Call Quality,1.41
Interactive Voice Response (IVR),Non-recurring Charges,1.41
Internet - General,OneBill / Split Bill,100
Keeping Promises - Appointments,Appointment Time / Window Convenience,20.21
Keeping Promises - Appointments,First Contact Resolution,7.98
Keeping Promises - Appointments,Resolution Time,7.18
Keeping Promises - Appointments,Keeping Promises - Customer Service,6.65
Keeping Promises - Appointments,Keeping Promises - Customer Call Back,4.79
Keeping Promises - Appointments,Billing Accuracy,3.99
Keeping Promises - Appointments,Transfer / Hold,3.72
Keeping Promises - Appointments,Contracts,3.46
Keeping Promises - Appointments,Programming / Channel Line Up,3.46
Keeping Promises - Appointments,Contracts,3.19
Keeping Promises - Appointments,Technician,2.93
Keeping Promises - Appointments,Supervisor Escalation,2.93
Keeping Promises - Appointments,Keeping Promises - Billing,2.93
Keeping Promises - Appointments,Technical Support,2.66
Keeping Promises - Appointments,All Competitors,2.39
Keeping Promises - Appointments,Cost,2.39
Keeping Promises - Appointments,Knowledge / Helpfulness,2.39
Keeping Promises - Appointments,Email / Home Page,2.13
Keeping Promises - Appointments,Getting to Rep / Reaching the Right Person,1.6
Keeping Promises - Appointments,Non-recurring Charges,1.6
Keeping Promises - Appointments,Appt Verification,1.6
Keeping Promises - Appointments,Modem / Router,1.6
Keeping Promises - Appointments,Ease of Ordering,1.33
Keeping Promises - Appointments,Regulatory,1.33
Keeping Promises - Appointments,Attitude,1.33
Keeping Promises - Appointments,Reliability / Out Of Service,1.06
Keeping Promises - Appointments,Call Quality,1.06
Keeping Promises - Appointments,Outsourcing,1.06
Keeping Promises - Appointments,Self Installation,0.8
Keeping Promises - Appointments,Home Monitor,0.8
Keeping Promises - Appointments,Set Top Box,0.8
Keeping Promises - Appointments,Promotions,0.53
Keeping Promises - Appointments,Referrals / Word of Mouth,0.53
Keeping Promises - Appointments,Installation - Physical,0.53
Keeping Promises - Appointments,Voice Mail,0.53
Keeping Promises - Appointments,Taxes / Surcharges,0.53
Keeping Promises - Appointments,Account Verification,0.53
Keeping Promises - Appointments,Picture Quality,0.53
Keeping Promises - Appointments,Equipment Delivery / Returns,0.27
Keeping Promises - Appointments,Business Hours,0.27
Keeping Promises - Appointments,Calling Plans,0.27
Keeping Promises - Appointments,PPV / VOD Billing,0.27
Keeping Promises - Appointments,Bill Format,0.27
Keeping Promises - Appointments,Spec Needs / Usability,0.27
Keeping Promises - Appointments,Legal - Other,0.27
Keeping Promises - Appointments,Instructions,0.27
Keeping Promises - Appointments,Door to Door Agent,0.27
Keeping Promises - Appointments,Move / Transfer of Service,0.27
Keeping Promises - Appointments,Migration,0.27
Keeping Promises - Appointments,Caller ID,0.27
Keeping Promises - Appointments,Equipment Delivery / Returns,0.27
Keeping Promises - Appointments,Advertising and Collateral,0.27
Keeping Promises - Appointments,Program Guide,0.27
Keeping Promises - Appointments,Pay Per View / VOD,0.27
Keeping Promises - Appointments,Solicitation,0.27
Keeping Promises - Appointments,Interactive Voice Response (IVR),0.27
Keeping Promises - Appointments,Up Sell,0.27
Keeping Promises - Appointments,Unauthorized Charge / Changes,0.27
Keeping Promises - Billing,Billing Accuracy,18.98
Keeping Promises - Billing,Cost,12.52
Keeping Promises - Billing,Keeping Promises - Customer Service,12.33
Keeping Promises - Billing,Contracts,7.02
Keeping Promises - Billing,Programming / Channel Line Up,3.42
Keeping Promises - Billing,Taxes / Surcharges,3.23
Keeping Promises - Billing,Transfer / Hold,3.23
Keeping Promises - Billing,Promotions,3.23
Keeping Promises - Billing,Non-recurring Charges,2.85
Keeping Promises - Billing,All Competitors,2.47
Keeping Promises - Billing,Keeping Promises - Appointments,2.09
Keeping Promises - Billing,First Contact Resolution,2.09
Keeping Promises - Billing,Bill Explanation,2.09
Keeping Promises - Billing,Email / Home Page,1.9
Keeping Promises - Billing,Keeping Promises - Customer Call Back,1.9
Keeping Promises - Billing,Packages / Premium Channels,1.9
Keeping Promises - Billing,Bill Format,1.9
Keeping Promises - Billing,Regulatory,1.71
Keeping Promises - Billing,Payment,1.52
Keeping Promises - Billing,Supervisor Escalation,1.52
Keeping Promises - Billing,Ease of Ordering,1.52
Keeping Promises - Billing,Set Top Box,1.33
Keeping Promises - Billing,Contracts,1.33
Keeping Promises - Billing,Collections,1.33
Keeping Promises - Billing,OneBill / Split Bill,1.33
Keeping Promises - Billing,Resolution Time,1.33
Keeping Promises - Billing,Appointment Time / Window Convenience,0.95
Keeping Promises - Billing,Knowledge / Helpfulness,0.95
Keeping Promises - Billing,PPV / VOD Billing,0.95
Keeping Promises - Billing,Attitude,0.95
Keeping Promises - Billing,Call Quality,0.95
Keeping Promises - Billing,Business Hours,0.76
Keeping Promises - Billing,Advertising and Collateral,0.76
Keeping Promises - Billing,Calling Plans,0.76
Keeping Promises - Billing,Unauthorized Charge / Changes,0.76
Keeping Promises - Billing,Getting to Rep / Reaching the Right Person,0.76
Keeping Promises - Billing,Account Verification,0.76
Keeping Promises - Billing,.Com,0.57
Keeping Promises - Billing,Speed,0.57
Keeping Promises - Billing,Picture Quality,0.57
Keeping Promises - Billing,Spec Needs / Usability,0.57
Keeping Promises - Billing,Interactive Voice Response (IVR),0.57
Keeping Promises - Billing,Technician,0.57
Keeping Promises - Billing,Equipment Delivery / Returns,0.57
Keeping Promises - Billing,Door to Door Agent,0.38
Keeping Promises - Billing,Referrals / Word of Mouth,0.38
Keeping Promises - Billing,Solicitation,0.38
Keeping Promises - Billing,Modem / Router,0.38
Keeping Promises - Billing,Phone - General,0.38
Keeping Promises - Billing,Technical Support,0.19
Keeping Promises - Billing,Up Sell,0.19
Keeping Promises - Billing,Voice Mail,0.19
Keeping Promises - Billing,One Visit Resolution,0.19
Keeping Promises - Billing,Legal - Other,0.19
Keeping Promises - Billing,Self Installation,0.19
Keeping Promises - Billing,Home Monitor,0.19
Keeping Promises - Billing,Equipment Delivery / Returns,0.19
Keeping Promises - Billing,Live Chat,0.19
Keeping Promises - Customer Call Back,Keeping Promises - Customer Service,20.22
Keeping Promises - Customer Call Back,Supervisor Escalation,12.64
Keeping Promises - Customer Call Back,First Contact Resolution,7.58
Keeping Promises - Customer Call Back,Transfer / Hold,7.22
Keeping Promises - Customer Call Back,Billing Accuracy,6.5
Keeping Promises - Customer Call Back,Keeping Promises - Appointments,6.5
Keeping Promises - Customer Call Back,Regulatory,3.97
Keeping Promises - Customer Call Back,Knowledge / Helpfulness,3.61
Keeping Promises - Customer Call Back,Keeping Promises - Billing,3.61
Keeping Promises - Customer Call Back,Appointment Time / Window Convenience,3.25
Keeping Promises - Customer Call Back,Cost,3.25
Keeping Promises - Customer Call Back,Attitude,3.25
Keeping Promises - Customer Call Back,Getting to Rep / Reaching the Right Person,3.25
Keeping Promises - Customer Call Back,All Competitors,2.89
Keeping Promises - Customer Call Back,Resolution Time,2.89
Keeping Promises - Customer Call Back,Contracts,2.53
Keeping Promises - Customer Call Back,Set Top Box,2.17
Keeping Promises - Customer Call Back,Voice Mail,1.81
Keeping Promises - Customer Call Back,Promotions,1.44
Keeping Promises - Customer Call Back,Ease of Ordering,1.08
Keeping Promises - Customer Call Back,Modem / Router,1.08
Keeping Promises - Customer Call Back,Payment,1.08
Keeping Promises - Customer Call Back,Contracts,1.08
Keeping Promises - Customer Call Back,Email / Home Page,1.08
Keeping Promises - Customer Call Back,Technical Support,1.08
Keeping Promises - Customer Call Back,Call Quality,1.08
Keeping Promises - Customer Call Back,Outsourcing,0.72
Keeping Promises - Customer Call Back,Bill Explanation,0.72
Keeping Promises - Customer Call Back,Non-recurring Charges,0.72
Keeping Promises - Customer Call Back,Referrals / Word of Mouth,0.72
Keeping Promises - Customer Call Back,Unauthorized Charge / Changes,0.72
Keeping Promises - Customer Call Back,Collections,0.72
Keeping Promises - Customer Call Back,Programming / Channel Line Up,0.72
Keeping Promises - Customer Call Back,Account Verification,0.72
Keeping Promises - Customer Call Back,Speed,0.36
Keeping Promises - Customer Call Back,Taxes / Surcharges,0.36
Keeping Promises - Customer Call Back,Calling Plans,0.36
Keeping Promises - Customer Call Back,Equipment Delivery / Returns,0.36
Keeping Promises - Customer Call Back,Technician,0.36
Keeping Promises - Customer Call Back,Move / Transfer of Service,0.36
Keeping Promises - Customer Call Back,Self Installation,0.36
Keeping Promises - Customer Call Back,Advertising and Collateral,0.36
Keeping Promises - Customer Call Back,Home Monitor,0.36
Keeping Promises - Customer Call Back,Remote,0.36
Keeping Promises - Customer Call Back,Pay Per View / VOD,0.36
Keeping Promises - Customer Call Back,Packages / Premium Channels,0.36
Keeping Promises - Customer Call Back,Reliability / Out Of Service,0.36
Keeping Promises - Customer Call Back,Instructions,0.36
Keeping Promises - Customer Call Back,Equipment Delivery / Returns,0.36
Keeping Promises - Customer Service,Keeping Promises - Billing,12.48
Keeping Promises - Customer Service,Keeping Promises - Customer Call Back,10.75
Keeping Promises - Customer Service,Billing Accuracy,8.64
Keeping Promises - Customer Service,Cost,7.49
Keeping Promises - Customer Service,Contracts,5.95
Keeping Promises - Customer Service,Keeping Promises - Appointments,4.8
Keeping Promises - Customer Service,Resolution Time,4.8
Keeping Promises - Customer Service,First Contact Resolution,4.61
Keeping Promises - Customer Service,Promotions,2.88
Keeping Promises - Customer Service,Appointment Time / Window Convenience,2.88
Keeping Promises - Customer Service,Transfer / Hold,2.88
Keeping Promises - Customer Service,Email / Home Page,2.5
Keeping Promises - Customer Service,Supervisor Escalation,2.3
Keeping Promises - Customer Service,Regulatory,2.11
Keeping Promises - Customer Service,Attitude,2.11
Keeping Promises - Customer Service,Programming / Channel Line Up,1.92
Keeping Promises - Customer Service,Technician,1.92
Keeping Promises - Customer Service,Taxes / Surcharges,1.92
Keeping Promises - Customer Service,Non-recurring Charges,1.73
Keeping Promises - Customer Service,All Competitors,1.73
Keeping Promises - Customer Service,Payment,1.54
Keeping Promises - Customer Service,Contracts,1.54
Keeping Promises - Customer Service,Set Top Box,1.34
Keeping Promises - Customer Service,Knowledge / Helpfulness,1.34
Keeping Promises - Customer Service,Advertising and Collateral,1.34
Keeping Promises - Customer Service,Packages / Premium Channels,1.15
Keeping Promises - Customer Service,Getting to Rep / Reaching the Right Person,1.15
Keeping Promises - Customer Service,Call Quality,1.15
Keeping Promises - Customer Service,Bill Format,1.15
Keeping Promises - Customer Service,Speed,0.96
Keeping Promises - Customer Service,Ease of Ordering,0.77
Keeping Promises - Customer Service,Equipment Delivery / Returns,0.77
Keeping Promises - Customer Service,Collections,0.77
Keeping Promises - Customer Service,Bill Explanation,0.77
Keeping Promises - Customer Service,Modem / Router,0.58
Keeping Promises - Customer Service,OneBill / Split Bill,0.58
Keeping Promises - Customer Service,Unauthorized Charge / Changes,0.58
Keeping Promises - Customer Service,Interactive Voice Response (IVR),0.58
Keeping Promises - Customer Service,Equipment Delivery / Returns,0.58
Keeping Promises - Customer Service,Technical Support,0.58
Keeping Promises - Customer Service,Reliability / Out Of Service,0.58
Keeping Promises - Customer Service,PPV / VOD Billing,0.38
Keeping Promises - Customer Service,Calling Plans,0.38
Keeping Promises - Customer Service,Home Monitor,0.38
Keeping Promises - Customer Service,Picture Quality,0.38
Keeping Promises - Customer Service,Voice Mail,0.38
Keeping Promises - Customer Service,Warranty,0.38
Keeping Promises - Customer Service,Spec Needs / Usability,0.19
Keeping Promises - Customer Service,Account Verification,0.19
Keeping Promises - Customer Service,Move / Transfer of Service,0.19
Keeping Promises - Customer Service,Live Chat,0.19
Keeping Promises - Customer Service,Outsourcing,0.19
Keeping Promises - Customer Service,Legal - Other,0.19
Keeping Promises - Customer Service,Self Installation,0.19
Knowledge / Helpfulness,Attitude,13.01
Knowledge / Helpfulness,First Contact Resolution,8.94
Knowledge / Helpfulness,Keeping Promises - Customer Call Back,8.13
Knowledge / Helpfulness,Resolution Time,7.32
Knowledge / Helpfulness,Keeping Promises - Appointments,7.32
Knowledge / Helpfulness,Keeping Promises - Customer Service,5.69
Knowledge / Helpfulness,Billing Accuracy,4.88
Knowledge / Helpfulness,Transfer / Hold,4.88
Knowledge / Helpfulness,Supervisor Escalation,4.88
Knowledge / Helpfulness,Keeping Promises - Billing,4.07
Knowledge / Helpfulness,Cost,4.07
Knowledge / Helpfulness,Contracts,4.07
Knowledge / Helpfulness,Regulatory,4.07
Knowledge / Helpfulness,All Competitors,4.07
Knowledge / Helpfulness,Ease of Ordering,2.44
Knowledge / Helpfulness,Set Top Box,2.44
Knowledge / Helpfulness,Speed,2.44
Knowledge / Helpfulness,Technician,2.44
Knowledge / Helpfulness,Bill Explanation,2.44
Knowledge / Helpfulness,Programming / Channel Line Up,1.63
Knowledge / Helpfulness,Advertising and Collateral,1.63
Knowledge / Helpfulness,Call Quality,1.63
Knowledge / Helpfulness,Non-recurring Charges,1.63
Knowledge / Helpfulness,Appointment Time / Window Convenience,1.63
Knowledge / Helpfulness,Picture Quality,0.81
Knowledge / Helpfulness,Promotions,0.81
Knowledge / Helpfulness,Equipment Delivery / Returns,0.81
Knowledge / Helpfulness,Bill Format,0.81
Knowledge / Helpfulness,Technical Support,0.81
Knowledge / Helpfulness,Payment,0.81
Knowledge / Helpfulness,Pay Per View / VOD,0.81
Knowledge / Helpfulness,Packages / Premium Channels,0.81
Knowledge / Helpfulness,Reliability / Out Of Service,0.81
Knowledge / Helpfulness,Equipment Delivery / Returns,0.81
Knowledge / Helpfulness,Caller ID,0.81
Knowledge / Helpfulness,Email / Home Page,0.81
Knowledge / Helpfulness,Getting to Rep / Reaching the Right Person,0.81
Knowledge / Helpfulness,Appt Verification,0.81
Knowledge / Helpfulness,Account Verification,0.81
Knowledge / Helpfulness,Contracts,0.81
Knowledge / Helpfulness,Calling Plans,0.81
Legal - Other,Contracts,8.22
Legal - Other,Regulatory,4.11
Legal - Other,Cost,4.11
Legal - Other,Getting to Rep / Reaching the Right Person,2.74
Legal - Other,Collections,2.74
Legal - Other,Referrals / Word of Mouth,2.74
Legal - Other,Programming / Channel Line Up,2.74
Legal - Other,All Competitors,2.74
Legal - Other,Payment,2.74
Legal - Other,Keeping Promises - Customer Service,1.37
Legal - Other,Keeping Promises - Billing,1.37
Legal - Other,Resolution Time,1.37
Legal - Other,Ease of Ordering,1.37
Legal - Other,Appt Verification,1.37
Legal - Other,Email / Home Page,1.37
Legal - Other,Call Quality,1.37
Legal - Other,Spec Needs / Usability,1.37
Legal - Other,Equipment Delivery / Returns,1.37
Legal - Other,Reliability / Out Of Service,1.37
Legal - Other,Technical Support,1.37
Legal - Other,Taxes / Surcharges,1.37
Legal - Other,Keeping Promises - Appointments,1.37
Legal - Other,Calling Plans,1.37
Legal - Other,Billing Accuracy,1.37
Live Chat,Getting to Rep / Reaching the Right Person,5.26
Live Chat,Transfer / Hold,5.26
Live Chat,Billing Accuracy,5.26
Live Chat,Keeping Promises - Billing,5.26
Live Chat,Payment,5.26
Live Chat,Bill Explanation,5.26
Live Chat,Keeping Promises - Customer Service,5.26
Live Chat,Regulatory,5.26
Live Chat,Modem / Router,5.26
Live Chat,Call Quality,5.26
Live Chat,Migration,5.26
Live Chat,Instructions,5.26
Live Chat,Set Top Box,5.26
Live Chat,Advertising and Collateral,5.26
Live Chat,Referrals / Word of Mouth,5.26
Live Chat,Technical Support,5.26
Migration,Home Monitor,13.33
Migration,Referrals / Word of Mouth,13.33
Migration,Ease of Ordering,6.67
Migration,Solicitation,6.67
Migration,Programming / Channel Line Up,6.67
Migration,Regulatory,6.67
Migration,Phone - General,6.67
Migration,Attitude,6.67
Migration,Live Chat,6.67
Migration,Keeping Promises - Appointments,6.67
Migration,Installation - Physical,6.67
Migration,Appointment Time / Window Convenience,6.67
Modem / Router,Billing Accuracy,13.77
Modem / Router,Equipment Delivery / Returns,13.04
Modem / Router,Technical Support,6.52
Modem / Router,Equipment Delivery / Returns,4.35
Modem / Router,Keeping Promises - Appointments,4.35
Modem / Router,Resolution Time,3.62
Modem / Router,Transfer / Hold,3.62
Modem / Router,First Contact Resolution,3.62
Modem / Router,Technician,3.62
Modem / Router,Speed,2.9
Modem / Router,Appointment Time / Window Convenience,2.9
Modem / Router,Programming / Channel Line Up,2.17
Modem / Router,Instructions,2.17
Modem / Router,Keeping Promises - Customer Call Back,2.17
Modem / Router,Keeping Promises - Customer Service,2.17
Modem / Router,Pay Per View / VOD,1.45
Modem / Router,Taxes / Surcharges,1.45
Modem / Router,Call Quality,1.45
